,WtDate,TubingPress,IA,WtOilVol,WtGasVol,WtGasRate,WtGasLiftVol,WtWaterVol,WtrLift,WtTotalFluid,WtWaterCut,WtGOR,WtSeparatorPress,WtRemarks,WtInfoOnly,well,WHP,BHP,HeaderP
0,2023-06-03,169.0,2552.8,424.4,96.6,96.6,0.0,693.7,2266.3,1118.0,62.0,227.6,168.1,,No,MPB-28,168.70467667785238,801.5793814432992,
1,2023-06-25,170.0,2551.3,322.4,103.6,103.6,0.0,717.6,2270.8,1040.0,69.0,321.4,169.4,WT - Corrected with SO,No,MPB-28,168.97701637931036,778.8712195121951,
2,2023-07-07,172.8,2515.7,460.3,160.0,160.0,0.0,239.8,2649.1,700.1,34.3,347.5,170.8,,No,MPB-28,168.77257425203985,845.4464751958225,
3,2023-07-17,177.5,2635.6,419.5,274.8,274.8,0.0,933.5,3450.1,1353.0,69.0,655.2,174.1,,No,MPB-28,171.785713856305,713.7406976744187,
4,2023-08-20,178.7,2462.8,395.9,190.7,190.7,0.0,556.9,3565.7,952.8,58.5,481.6,176.3,,No,MPB-28,178.83652868589772,539.8925925925925,
5,2023-08-21,181.9,2515.4,388.5,159.3,159.3,0.0,530.4,3612.4,918.9,57.7,409.9,179.5,,No,MPB-28,178.82510446428572,536.7051020408162,
6,2023-09-07,177.8,2541.3,362.4,207.9,207.9,0.0,425.8,3720.3,788.2,54.0,573.6,175.4,,No,MPB-28,173.68523711256117,514.9350148367948,
7,2023-09-17,174.5,2435.4,138.3,161.3,161.3,0.0,667.8,4149.4,806.1,82.8,"1,166.6",174.0,"WT - Post JPCO. Verified with Shake outs, Seeing increased PF rate by 700bpd. BHP (729psi) not drawing down as far.",No,MPB-28,170.74019461732559,726.5069377990434,
8,2023-12-10,177.7,1.0,433.2,318.3,318.3,0.0,1149.8,3774.5,1583.1,72.6,734.6,179.6,,No,MPB-28,177.56196937431375,1194.5536919831225,
9,2023-12-17,181.7,2294.2,377.4,379.6,379.6,0.0,1292.9,4137.1,1670.4,77.4,"1,005.8",182.0,WT - PF rate was dropped to 3500 BWPD,No,MPB-28,174.98456243180104,1064.2821465428262,
10,2024-01-27,179.6,2253.0,483.0,176.0,176.0,0.0,1058.2,2282.2,1541.3,68.7,364.4,180.1,,No,MPB-28,174.35776477064198,1035.1987451737439,
11,2024-02-08,178.7,2363.2,330.7,135.3,135.3,0.0,840.0,2413.3,1170.7,71.8,409.3,178.1,,No,MPB-28,170.14446277021625,917.2392857142864,
12,2024-03-02,184.1,2456.9,334.6,206.6,206.6,0.0,836.9,2461.2,1171.6,71.4,617.5,182.1,,No,MPB-28,158.6175547872339,874.4046391752576,
13,2024-03-04,170.4,2488.6,231.9,113.9,113.9,0.0,765.3,2463.0,997.2,76.7,491.2,170.3,WT - BHP climbing and oil rare down may need JP change out,No,MPB-28,171.7600269791668,892.5145181476847,
14,2023-05-31,222.5,2493.8,292.2,1600.0,1600.0,0.0,467.7,1.6,759.9,61.5,"5,475.8",177.8,,No,MPB-30,184.74879233038354,1124.4125858123575,
15,2023-06-02,220.4,2509.8,288.4,1542.4,1542.4,0.0,464.2,1.8,752.5,61.7,"5,349.0",177.8,,No,MPB-30,211.23713786707896,1176.1777327935226,
16,2023-06-05,223.7,2620.5,290.4,1512.4,1512.4,0.0,474.3,1.9,764.7,62.0,"5,208.6",177.9,,No,MPB-30,211.83537053140094,1183.3815789473686,
17,2023-06-11,220.5,1400.0,287.8,1508.1,1508.1,0.0,467.8,1.6,755.6,61.9,"5,240.3",177.5,,No,MPB-30,217.8422025196852,1201.590576923077,
